instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
2,scenario-03,step-26,warm,ondemand,0.000,0.0022,0.0757,0.0017,1.05,1.05
2,scenario-03,step-27,warm,ondemand,0.000,0.0020,0.1245,0.0080,1.05,3.15
2,scenario-03,step-28,warm,ondemand,0.000,0.0049,0.2433,0.0066,3.15,3.15
1,scenario-01,step-29,warm,ondemand,0.000,0.0093,0.4779,0.0111,6.29,6.29
2,scenario-03,step-29,warm,ondemand,0.000,0.0056,0.2442,0.0054,3.15,3.15
2,scenario-03,step-30,warm,ondemand,0.000,0.0049,0.2390,0.0059,3.15,3.15
1,scenario-01,step-30,warm,ondemand,0.000,0.0090,0.4877,0.0110,6.29,6.29
2,scenario-03,step-31,warm,ondemand,0.000,0.0046,0.2390,0.0054,3.15,3.15
2,scenario-03,step-32,warm,ondemand,0.000,0.0046,0.2384,0.0052,3.15,3.15
1,scenario-01,step-31,warm,ondemand,0.000,0.0104,0.4896,0.0113,6.29,6.29
2,scenario-03,step-33,warm,ondemand,0.000,0.0046,0.2366,0.0046,3.15,3.15
1,scenario-01,step-32,warm,ondemand,0.000,0.0090,0.4884,0.0101,6.29,6.29
2,scenario-03,step-34,warm,ondemand,0.000,0.0046,0.2317,0.0049,3.15,3.15
2,scenario-03,step-35,warm,ondemand,0.000,0.0048,0.2327,0.0047,3.15,3.15
2,scenario-03,step-36,warm,ondemand,0.000,0.0049,0.2371,0.0049,3.15,3.15
1,scenario-01,step-33,warm,ondemand,0.000,0.0094,0.4920,0.0092,6.29,6.29
2,scenario-03,step-37,warm,ondemand,0.000,0.0054,0.2273,0.0045,3.15,3.15
2,scenario-03,step-38,warm,ondemand,0.000,0.0048,0.2474,0.0053,3.15,3.15
1,scenario-01,step-34,warm,ondemand,0.000,0.0099,0.5020,0.0098,6.29,6.29
2,scenario-03,step-39,warm,ondemand,0.000,0.0049,0.2410,0.0047,3.15,3.15
2,scenario-03,step-40,warm,ondemand,0.000,0.0048,0.2405,0.0046,3.15,3.15
1,scenario-01,step-35,warm,ondemand,0.000,0.0105,0.4954,0.0102,6.29,6.29
2,scenario-03,step-41,warm,ondemand,0.000,0.0054,0.2070,0.0019,3.15,1.05
1,scenario-01,step-36,warm,ondemand,0.000,0.0095,0.4943,0.0088,6.29,6.29
1,scenario-01,step-37,warm,ondemand,0.000,0.0087,0.4629,0.0088,6.29,6.29
1,scenario-01,step-38,warm,ondemand,0.000,0.0090,0.4702,0.0089,6.29,6.29
1,scenario-01,step-39,warm,ondemand,0.000,0.0089,0.4632,0.0103,6.29,6.29
1,scenario-01,step-40,warm,ondemand,0.000,0.0107,0.5327,0.0120,6.29,6.29
1,scenario-01,step-41,warm,ondemand,0.000,0.0168,0.4007,0.0024,6.29,1.05
3,scenario-02,step-0,warm,ondemand,0.000,0.0000,0.0759,0.0024,0.00,1.05
3,scenario-02,step-1,warm,ondemand,0.000,0.0017,0.0897,0.0045,1.05,2.10
3,scenario-02,step-2,warm,ondemand,0.000,0.0046,0.1225,0.0022,2.10,1.05
3,scenario-02,step-3,warm,ondemand,0.000,0.0018,0.0893,0.0043,1.05,2.10
3,scenario-02,step-4,warm,ondemand,0.000,0.0032,0.1126,0.0026,2.10,1.05
3,scenario-02,step-5,warm,ondemand,0.000,0.0017,0.0679,0.0027,1.05,1.05
3,scenario-02,step-6,warm,ondemand,0.000,0.0018,0.0894,0.0044,1.05,2.10
3,scenario-02,step-7,warm,ondemand,0.000,0.0030,0.1343,0.0043,2.10,2.10
3,scenario-02,step-8,warm,ondemand,0.000,0.0032,0.1126,0.0019,2.10,1.05
3,scenario-02,step-9,warm,ondemand,0.000,0.0019,0.0889,0.0045,1.05,2.10
3,scenario-02,step-10,warm,ondemand,0.000,0.0034,0.1367,0.0224,2.10,2.10
3,scenario-02,step-11,warm,ondemand,0.000,0.0032,0.1344,0.0160,2.10,2.10
